MetaPrefix,StandalonePrefix,StrictPrefix,IsolatablePrefix,StrictSuffix,StandaloneSuffix,PrefixingSuffix
,,,actino,,,
,,,aero,,,aerial
,,,aesthesio,,aesthetics,aesthetic
,,,aetio,,,
,,,,agogy,,agogical
,,,agro,,,
,alternative,,,,,
,analogue,,,,,
,analytical,,,,analysis,analytical
,anatomical,,,,anatomy,anatomical
,,,andro,andry,,androus
,,,angio,,,
,animal,,,,,
,applied,,,,,
,aquatic,,,,,
,,,archaeo,,,
,atmospheric,,,,,
,atomic,,,,,
,,atto,,,,
,,,audio,,acoustics,acoustic
,,,auto,,,
,avian,,ornitho,,,
,,,balneo,,,
,behavioural,,,,,
,,,bio,biosis,bionics,biotic
,,,,,,bolic
,botanical,,,,botany,botanical
,,,capno,,,
,,,carcino,,,
,cardiac,,cardio,,,
,,,carto,,,
,celestial,,,,,
,cellular,,cyto,,,
,,,chemo,,chemistry,chemical
,,,chiro,,,
,chromatic,,chromo,,,
,chronic,,chrono,,,chronic
cis,,cis,,,,
,classical,,,,,
,,,climato,,,climatic
,clinical,,,,,
,cognitive,,,,cognition,cognitive
,comparative,,,,,
,computational,,,,,
,contemporary,,,,,
,cosmic,,cosmo,,,cosmic
,criminal,,crimino,,,criminal
,critical,,,,,
,,,crypto,,,cryptic
,cultural,,,,,
,,,cyber,,cybernetics,cybernetic
,,,dactylo,,,
,,,demo,,,
,,,dendro,,,dendrous
,,,dermato,,,dermal
,,,,desy,,detic
,differential,,,,,
,digital,,,,,
,discrete,,,,,
,,,dromo,dromics,,dromic
,dynamic,,,,dynamics,dynamic
,,,echo,,,
,educational,,,,,
,,,eido,,,
,electrical,,electro,,electricity,electric
,electronic,,electro,,electronics,electronic
,elementary,,,,,
,elliptical,,,,,
,embryonic,,embryo,,embryonics,embryonic
,,,,,engineering,engineering
,,,encephalo,,,
,,,endocrino,,,
,,,entero,,,enteric
,,,entomo,,,
,environmental,,eco,,,
epi,,epi,,,,
,,,epidemio,,,
,,,epistemo,,,
,,,ergo,,,
,ethnic,,ethno,,,
,,,etho,,ethics,ethical
,,,etymo,,,
,,eu,,,,
,evolutionary,,,,,
,,exo,,,,
,experimental,,,,,
extra,,,,,,
,feminist,,,,,
,,femto,,,,
,folk,,,,,
,food,,,,,
,forensic,,,,forensics,forensic
,formal,,,,,
,friction,,tribo,,,
,fundamental,,,,,
,galactic,,,,,
,,,gastro,,,gastric
,general,,,,,
,generalised,,,,,
,genetic,,,,genetics,genetic
,,,,,generation,generative
,,,,geny,genics,genic
,,,geo,,,
,,,geronto,,,
,,,glotto,,,glottal
,,,glyco,,,
,,,glypho,glyphics,,glyphic
,,,gnatho,,,gnathic
,,,gnoseo,gnosis,,gnostic
,,,grapho,graphy,,graphical
,,,gynaeco,gyny,,gynous
,,,haemato,,,haematic
,,,haemo,,,haemic
,haploid,,haplo,,,
,,,hetero,,,
,high-energy,,,,,
,,,histo,,,
,historical,,,,history,historical
,,,holo,,,
,,,homo,,,
,,,horo,,,
,household,,,,,
,human,,anthropo,,,
,,,hydro,,,
,,,hygro,,,
hyper,,hyper,,,,
hypo,,hypo,,,,
,,,,iatrics,,iatric
,,,,iatry,,iatric
,,,ichno,,,
,,,ideo,,,
,,,immuno,,immunity,
,impractical,,,,,
,industrial,,,,,
,informal,,,,,
,inorganic,,,,,
intra,,intra,,,,
inter,,inter,,,,
,,,kinesio,,kinetics,kinetic
,landscape,,,,,
,,,laryngo,,,laryngeal
,legal,,,,,
,,,leuko,,,
,,,limno,,,
,linguistic,,,,linguistics,linguistic
,,,lipido,,,
,,,litho,,,lithic
,,,loco,,location,local
,,,logo,logy,,logical
,,,,lysis,,lytic
macro,,macro,,,,
,,,malaco,,,
,marine,,,,,
,maritime,,,,,
,material,,,,,
,mathematical,,,,mathematics,mathematical
,mechanical,,mechano,,mechanics,mechanical
,mediaeval,,,,,
,medical,,,,medicine,medical
,,,,,memetics,memetic
meso,,meso,,,,
meta,,meta,,,,
,,,meteoro,,,
,,,methodo,,,methodical
,,,metro,metry,metrics,metric
micro,microbial,micro,,,,
,military,,,,,
,,,,,mimesis,mimetic
,molecular,,,,,
mono,,mono,,,,
,morphic,,morpho,morphics,,morphic
,,,,motion,,motive
,musical,,musico,,,musical
,,,myco,,,
,,,mytho,,,
,,nano,,,,
,natural,,,,,
,,,nemato,,,
neo,,neo,,,,
,,,neuro,,,
,,,,nomics,,nomic
,,,,nomy,,nomical
non,,,,,,
,,,,nymy,,nymic
,observational,,,,,
,occupational,,,,,
,,,oculo,,,ocular
,,,odonto,odontics,,odontic
,,,oeno,,,
,,,onco,,,
,,,onomato,,,onomastic
,,,onto,,,
,,,ophio,,,
,,,ophthalmo,,,ophthalmic
,,,opto,,optics,optical
,organic,,organo,,,
,,,oro,,,
,,,ortho,,,
,,,osteo,,,
,,,paedo,,,
,,,palaeo,,,
,,,palyno,,,
para,,para,,,,
,,,patho,pathy,,pathic
,perceptual,,,,perception,perceptual
peri,,peri,,,,
,petroleum,,petro,,,
,,,pharmaco,,,
,,,pheno,,,
,,,phenomeno,,,
,philosophical,,,,philosophy,philosophical
,,,phlebo,,,
,,,phobo,,,phobic
,,,phono,,phonics,phonic
,,,phoro,phorics,,phoric
,,,phreno,phrenics,,phrenic
,,,phyco,,,
,,,phylo,,,
,physical,,physio,,physics,physical
,,,phyto,,,
,,pico,,,,
,planetary,,,,,
,plant,,,,,
,,,pneumato,,pneumatics,pneumatic
,,,podo,,,
,,,,poiesis,,poietic
,political,,,,politics,political
poly,,poly,,,,
,population,,,,,
post,,,,,,
,practical,,praxeo,,,
pre,prehistoric,pre,,,,
,primary,,,,,
,primitive,,,,,
,probabilistic,,,,,
,projective,,,,projection,projective
,,,psepho,,,
,psychosomatic,,psycho,,,
,,,psychro,,,
,,,ptero,,,
,public,,,,,
,,,pyro,,,
,quantum,,,,,
,,,radio,,,
,religious,,theo,,,
,,,rheo,,,
,,,rhino,,,
,,,,,science,scientific
,,,schisto,schisis,,schistic
,,,schizo,,,
,,,sclero,,,
,,,,scopy,,scopic
,,,scoto,,,
,secondary,,,,,
,,,seismo,,,
,semiotic,,semio,,semiotics,semous
,,,sero,,,
,sexual,,sexo,,,
,,,socio,,,
,solar,,helio,,,
,somatic,,,,,somatic
,spatial,,spatio,,,
,spherical,,,,,
,sports,,,,,
,static,,,,statics,static
,statistical,,,,statistics,statistical
,stellar,,astro,,,
,,,strati,,,
sub,,sub,,,,
super,,super,,,,
,sustainable,,,,sustainability,sustainable
,sympathetic,,,,,
,,,symptomato,,,symptomatic
,synthetic,,,,synthesis,synthetic
,systems,,,,,
,,,tapho,,,
,,,tauto,,,
,,,taxo,,,
,,,techno,,,
,tertiary,,,,,
,,,thanato,,,
,theoretical,,,,,
,therapeutic,,,,therapy,therapeutic
,thermal,,thermo,,,thermal
,tidal,,,,,
,topical,,,,,
,,,tomo,tomy,,tomic
,,,topo,,,
,,,toxico,,,
trans,transitional,trans,,,,
,trophic,,,trophy,trophics,trophic
,tropical,,tropo,tropics,,tropic
,urban,,,,,
,,,uro,,,
,vacuum,,,,,
,vascular,,vaso,,,vascular
,,,video,,,
,viral,,viro,,,
,,,vulcano,,,
xeno,,xeno,,,,
,,,xylo,,,
,,,zoo,,,
,,,zymo,,,zymous
