MetaPrefix,StandalonePrefix,StrictPrefix,IsolatablePrefix,StrictSuffix,IsODropping,StandaloneSuffix,PrefixingSuffix
,,,actino,,0,,
,,,aero,,0,,aerial
,,,aesthesio,,0,aesthetics,aesthetic
,,,aetio,,0,,
,,,,agogy,1,,agogical
,,,agro,,0,,
,alternative,,,,0,,
,analogue,,,,0,,
,analytical,,,,0,analysis,analytical
,anatomical,,,,0,anatomy,anatomical
,,,andro,andry,1,,androus
,,,angio,,0,,
,animal,,,,0,,
,applied,,,,0,,
,aquatic,,,,0,,
,,,archaeo,,0,,
,atmospheric,,,,0,,
,atomic,,,,0,,
,,atto,,,0,,
,,,audio,,0,acoustics,acoustic
,,,auto,,0,,
,avian,,ornitho,,0,,
,,,balneo,,0,,
,behavioural,,,,0,,
,,,bio,biosis,0,bionics,biotic
,,,,,0,,bolic
,botanical,,,,0,botany,botanical
,,,capno,,0,,
,,,carcino,,0,,
,cardiac,,cardio,,0,,
,,,carto,,0,,
,celestial,,,,0,,
,cellular,,cyto,,0,,
,,,chemo,,0,chemistry,chemical
,,,chiro,,0,,
,chromatic,,chromo,,0,,
,chronic,,chrono,,0,,chronic
cis,,cis,,,0,,
,classical,,,,0,,
,,,climato,,0,,climatic
,clinical,,,,0,,
,cognitive,,,,0,cognition,cognitive
,comparative,,,,0,,
,computational,,,,0,,
,contemporary,,,,0,,
,cosmic,,cosmo,,0,,cosmic
,criminal,,crimino,,0,,criminal
,critical,,,,0,,
,,,crypto,,0,,cryptic
,cultural,,,,0,,
,,,cyber,,0,cybernetics,cybernetic
,,,dactylo,,0,,
,,,demo,,0,,
,,,dendro,,0,,dendrous
,,,dermato,,0,,dermal
,,,,desy,0,,detic
,differential,,,,0,,
,digital,,,,0,,
,discrete,,,,0,,
,,,dromo,dromics,0,,dromic
,dynamic,,,,0,dynamics,dynamic
,,,echo,,0,,
,educational,,,,0,,
,,,eido,,0,,
,electrical,,electro,,0,electricity,electric
,electronic,,electro,,0,electronics,electronic
,elementary,,,,0,,
,elliptical,,,,0,,
,embryonic,,embryo,,0,embryonics,embryonic
,,,,,0,engineering,engineering
,,,encephalo,,0,,
,,,endocrino,,0,,
,,,entero,,0,,enteric
,,,entomo,,0,,
,environmental,,eco,,0,,
epi,,epi,,,0,,
,,,epidemio,,0,,
,,,epistemo,,0,,
,,,ergo,,0,,
,ethnic,,ethno,,0,,
,,,etho,,0,ethics,ethical
,,,etymo,,0,,
,,eu,,,0,,
,evolutionary,,,,0,,
,,exo,,,0,,
,experimental,,,,0,,
extra,,,,,0,,
,feminist,,,,0,,
,,femto,,,0,,
,folk,,,,0,,
,food,,,,0,,
